CellNr,Gata3HighCLuster,Component1,Component2
Cell 1,0,-0.17082,0.0029588
Cell 2,1,0.089603,0.10977
Cell 3,0,-0.11381,-0.00026065
Cell 4,1,0.21894,0.042213
Cell 5,1,0.22736,-0.0079136
Cell 6,0,-0.12507,-0.023582
Cell 7,0,-0.12968,-0.022872
Cell 8,0,-0.22688,-0.1673
Cell 9,1,0.19751,0.033713
Cell 10,0,-0.17503,-0.0061402
Cell 11,1,0.195,0.065838
Cell 12,0,-0.12798,-0.027314
Cell 13,1,0.029054,0.090037
Cell 14,1,0.20695,0.046235
Cell 15,1,0.064996,0.21093
Cell 16,1,0.084475,0.041775
Cell 17,1,0.19342,0.031191
Cell 18,0,-0.10241,-0.12522
Cell 19,0,-0.16642,-0.024852
Cell 20,0,-0.03587,-0.020913
Cell 21,1,-0.10485,0.10446
Cell 22,1,0.089645,-0.04711
Cell 23,1,0.20105,0.0259
Cell 24,0,-0.11282,0.030926
Cell 25,1,0.11041,-0.11462
Cell 26,0,-0.14263,-0.089614
Cell 27,1,0.053078,0.14951
Cell 28,1,0.20002,-0.056632
Cell 29,0,-0.14439,-0.026542
Cell 30,0,-0.13806,-0.0033349
Cell 31,0,-0.16863,-0.20217
Cell 32,0,-0.14355,-0.02868
Cell 33,1,0.15883,0.044687
Cell 34,0,-0.078329,-0.070348
Cell 35,1,0.15003,-0.021589
Cell 36,1,0.2346,0.054965
Cell 37,0,-0.13738,-0.030404
Cell 38,0,-0.076668,0.024299
Cell 39,0,-0.12614,-0.19532
Cell 40,1,0.14597,0.035705
Cell 41,0,-0.1618,-0.23654
Cell 42,1,-0.061087,0.093738
Cell 43,0,-0.16832,-0.1537
Cell 44,1,0.15909,-0.086521
Cell 45,0,-0.14255,-0.03158
Cell 46,0,-0.13643,-0.04169
Cell 47,0,-0.16375,0.043611
Cell 48,0,-0.16079,-0.04955
Cell 49,0,-0.1141,-0.064159
Cell 50,1,0.0062774,0.19098
Cell 51,1,0.18256,0.0081058
Cell 52,0,-0.029266,-0.10147
Cell 53,1,-0.058742,0.13052
Cell 54,1,-0.026279,0.055566
Cell 55,0,-0.19611,-0.20949
Cell 56,0,-0.12775,-0.0236
Cell 57,0,-0.21385,0.036494
Cell 58,1,0.17107,0.081946
Cell 59,1,0.21876,0.10794
Cell 60,1,0.18528,-0.0014037
Cell 61,1,0.17196,-0.016821
Cell 62,0,-0.14541,-0.006412
Cell 63,1,0.25053,0.098514
Cell 64,1,0.1998,0.052496
Cell 65,1,0.17418,0.11065
Cell 66,1,0.2157,0.078047
Cell 67,0,-0.12241,-0.037809
Cell 68,0,-0.13416,-0.027045
Cell 69,1,0.13184,0.0033765
Cell 70,1,0.13341,0.13044
Cell 71,0,-0.090862,-0.025298
Cell 72,0,-0.12423,-0.02577
Cell 73,0,-0.085407,-0.020857
Cell 74,1,0.16191,0.016029
Cell 75,1,0.13384,0.076606
Cell 76,0,-0.1381,0.0020078
Cell 77,0,-0.12738,-0.025721
Cell 78,0,-0.13759,-0.024304
Cell 79,1,0.24872,0.031774
Cell 80,1,0.1793,0.048999
Cell 81,0,-0.16137,-0.020484
